Precio,Expensas,Barrio,Dormitorios,Banos,Ambientes,Antiguedad,Sup_Cubierta_m2,Sup_Total_m2,Amenities,Losa_Central,Aire_Acond,Apto_Credito,Cochera,Seguridad,Luminoso,Balcon_Aterrazado,A_Estrenar,Precio_m2,Proporcion_Cubierta,Indice_Seguridad,Categoria_Seguridad
165000,150000,Saavedra,1.0,1.0,2.0,4.0,42.0,87.0,0,0,1,0,1,0,0,0,0,1896.551724137931,0.4827586206896552,0.9326363312344066,Muy Segura
110000,70000,Saavedra,1.0,1.0,2.0,12.0,38.0,38.0,1,0,1,0,1,0,0,0,0,2894.7368421052633,1.0,0.8296305096827848,Segura
97000,80000,Saavedra,3.0,1.0,4.0,40.0,65.0,65.0,0,0,0,1,0,0,1,0,0,1492.3076923076924,1.0,0.826066294404182,Segura
61900,113000,Saavedra,1.0,1.0,2.0,40.0,34.0,34.0,0,0,0,1,0,0,1,0,0,1820.5882352941176,1.0,0.8197101104906737,Segura
168000,180000,Saavedra,2.0,1.0,3.0,26.0,60.0,64.0,1,0,0,0,1,1,1,0,0,2625.0,0.9375,0.9145479386954971,
359000,500000,Saavedra,3.0,2.0,4.0,11.0,86.0,100.0,1,0,0,0,1,1,1,0,0,3590.0,0.86,0.9145479386954971,
210000,100000,Saavedra,2.0,1.0,3.0,9.0,63.0,69.0,1,0,0,0,1,0,1,0,0,3043.478260869565,0.9130434782608695,0.9157657122490198,Muy Segura
175000,17000,Saavedra,3.0,1.0,4.0,25.0,60.0,60.0,0,0,0,0,1,0,1,0,0,2916.6666666666665,1.0,0.9145479386954971,
129000,74085,Saavedra,1.0,1.0,2.0,15.0,50.0,50.0,0,0,0,1,0,0,1,0,0,2580.0,1.0,0.8665795414043008,Segura
240000,220000,Saavedra,3.0,1.0,5.0,17.0,84.0,89.0,1,0,0,1,0,0,1,0,0,2696.629213483146,0.9438202247191011,0.8443031959130332,Segura
65000,151250,Saavedra,2.0,1.0,3.0,35.0,45.0,45.0,0,0,0,0,0,0,0,0,0,1444.4444444444443,1.0,0.9145479386954971,
138000,100000,Saavedra,2.0,1.0,3.0,2.0,60.0,60.0,1,0,0,0,0,1,1,0,1,2300.0,1.0,0.9442794344778425,Muy Segura
150000,80000,Saavedra,2.0,1.0,3.0,15.0,60.0,72.0,0,0,0,1,0,0,1,0,0,2083.3333333333335,0.8333333333333334,0.9374480218605203,Muy Segura
78000,50000,Saavedra,1.0,1.0,2.0,20.0,36.0,36.0,0,0,0,1,0,0,1,0,0,2166.6666666666665,1.0,0.7472971367470596,Segura
650000,860000,Saavedra,3.0,2.0,4.0,18.0,180.0,180.0,1,0,0,1,1,0,1,0,0,3611.1111111111113,1.0,0.9145479386954971,
125000,30000,Saavedra,1.0,1.0,2.0,7.0,41.0,50.0,0,0,0,1,0,0,1,1,0,2500.0,0.82,0.9494475466318165,Muy Segura
121000,150000,Saavedra,2.0,1.0,3.0,40.0,60.0,60.0,0,0,0,1,1,0,1,0,1,2016.6666666666667,1.0,0.9263395509088749,Muy Segura
189000,196000,Saavedra,2.0,2.0,3.0,7.0,86.0,86.0,0,0,1,0,0,0,1,0,0,2197.6744186046512,1.0,0.9817630984911488,Muy Segura
84900,70000,Saavedra,2.0,1.0,3.0,50.0,44.0,44.0,0,0,0,1,0,0,0,0,1,1929.5454545454545,1.0,0.9830105738386599,Muy Segura
65000,60000,Saavedra,1.0,1.0,1.0,40.0,26.0,26.0,0,0,1,0,0,0,1,0,0,2500.0,1.0,0.6275989069739812,Segura
85000,55000,Saavedra,2.0,1.0,3.0,51.0,42.0,42.0,1,0,1,0,0,0,1,0,0,2023.8095238095239,1.0,0.9145479386954971,
105000,100000,Saavedra,1.0,1.0,2.0,20.0,37.0,37.0,0,0,1,1,0,0,0,0,0,2837.837837837838,1.0,0.9145479386954971,
189000,230000,Saavedra,3.0,2.0,4.0,40.0,100.0,100.0,0,0,0,0,1,0,1,0,0,1890.0,1.0,0.8110371866460734,Segura
98000,100000,Saavedra,1.0,1.0,1.0,3.0,32.0,32.0,1,0,1,0,0,0,1,0,0,3062.5,1.0,0.9507544255673043,Muy Segura
110000,115000,Saavedra,2.0,1.0,3.0,27.0,48.0,48.0,1,0,0,1,0,0,1,0,0,2291.6666666666665,1.0,0.8314126173220863,Segura
149500,270000,Saavedra,2.0,1.0,3.0,35.0,58.0,74.0,0,0,0,1,1,1,1,1,0,2020.2702702702702,0.7837837837837838,0.7602471189259832,Segura
125000,150000,Saavedra,2.0,1.0,3.0,30.0,47.0,51.0,0,0,0,1,0,0,1,0,1,2450.9803921568628,0.9215686274509803,0.9145479386954971,
163000,110000,Saavedra,2.0,1.0,3.0,50.0,62.0,83.0,1,0,0,1,0,1,1,1,0,1963.855421686747,0.7469879518072289,0.9948318878460259,Muy Segura
80000,150000,Saavedra,1.0,1.0,1.0,4.0,35.0,35.0,1,0,0,1,1,0,0,0,0,2285.714285714286,1.0,0.9145479386954971,
95000,160000,Saavedra,2.0,1.0,3.0,60.0,48.0,54.0,0,0,1,1,0,0,1,0,0,1759.2592592592594,0.8888888888888888,0.7420102174171319,Segura
150000,90000,Saavedra,2.0,1.0,3.0,43.0,62.0,70.0,0,0,0,1,1,0,0,0,0,2142.8571428571427,0.8857142857142857,0.7401093026018771,Segura
95000,120000,Saavedra,1.0,1.0,2.0,50.0,40.0,42.0,0,0,0,1,0,0,1,0,0,2261.904761904762,0.9523809523809523,0.8086610431270049,Segura
