Precio,Expensas,Barrio,Dormitorios,Banos,Ambientes,Antiguedad,Sup_Cubierta_m2,Sup_Total_m2,Latitud,Longitud,Link,Amenities,Losa_Central,Aire_Acond,Apto_Credito,Cochera,Seguridad,Luminoso,Balcon_Aterrazado,A_Estrenar,Precio_m2,Proporcion_Cubierta,Indice_Seguridad,Categoria_Seguridad,Subte_Cerca,Percentil_Precio_Barrio,Score
69000,152000,Saavedra,1.0,1.0,2.0,60.0,30.0,37.0,-34.55283,-58.48753,https://www.argenprop.com/departamento-en-venta-en-saavedra-2-ambientes--19193872,1,0,0,1,0,1,0,0,0,1864.8648648648648,0.8108108108108109,0.7879885945111085,Segura,0.0,0.15384615384615385,5.0
100000,60000,Saavedra,1.0,1.0,2.0,40.0,40.0,40.0,-34.55351,-58.48824,https://www.argenprop.com/departamento-en-venta-en-saavedra-2-ambientes--17071209,0,0,0,0,0,0,1,0,0,2500.0,1.0,0.8086610431270049,Segura,0.0,0.5594405594405595,0.0
155000,270000,Saavedra,3.0,2.0,4.0,,90.0,92.0,-34.55009,-58.48552,https://www.argenprop.com/departamento-en-venta-en-saavedra-4-ambientes--11984797,0,0,0,1,0,1,1,1,0,1684.7826086956522,0.9782608695652174,0.8443031959130332,Segura,0.0,0.07692307692307693,4.0
120000,150000,Saavedra,2.0,1.0,3.0,40.0,60.0,60.0,-34.55626,-58.47784,https://www.argenprop.com/departamento-en-venta-en-saavedra-3-ambientes--19028999,1,0,1,1,1,0,1,0,1,2000.0,1.0,0.9533681834382797,Muy Segura,0.0,0.21328671328671328,6.5
103000,115000,Saavedra,1.0,1.0,1.0,6.0,28.0,41.0,-34.54883,-58.481792,https://www.argenprop.com/departamento-en-venta-en-saavedra-1-ambiente--19142451,1,0,0,1,1,0,1,0,0,2512.1951219512193,0.6829268292682927,0.9757039325175241,Muy Segura,0.0,0.5804195804195804,5.0
87000,80000,Saavedra,1.0,1.0,1.0,8.0,33.0,33.0,-34.54419,-58.48053,https://www.argenprop.com/departamento-en-venta-en-saavedra-1-ambiente--18610857,1,0,0,0,0,0,1,0,0,2636.3636363636365,1.0,0.9478436497564453,Muy Segura,0.0,0.6381118881118881,3.0
220000,135000,Saavedra,2.0,2.0,3.0,1.0,69.0,75.0,-34.55692,-58.48247,https://www.argenprop.com/departamento-en-venta-en-saavedra-3-ambientes--18533235,1,1,1,0,1,0,0,1,1,2933.3333333333335,0.92,0.9213496495188309,Muy Segura,0.0,0.8006993006993007,9.5
138600,70000,Saavedra,1.0,1.0,2.0,,52.0,59.0,-34.54681,-58.47228,https://www.argenprop.com/departamento-en-venta-en-saavedra-2-ambientes--19146961,1,0,1,0,1,0,0,0,1,2349.1525423728813,0.8813559322033898,0.8224426755376024,Segura,0.0,0.47202797202797203,5.5
89500,170000,Saavedra,1.0,1.0,1.0,5.0,29.0,32.0,-34.55448,-58.48333,https://www.argenprop.com/departamento-en-venta-en-saavedra-1-ambiente--19308194,1,0,0,1,0,0,1,0,0,2796.875,0.90625,0.8402043483426399,Segura,0.0,0.7412587412587412,2.0
95000,140000,Saavedra,1.0,1.0,2.0,10.0,35.0,47.0,-34.54874,-58.48221,https://www.argenprop.com/departamento-en-venta-en-saavedra-2-ambientes--19347105,1,0,0,0,0,0,0,0,0,2021.276595744681,0.7446808510638298,0.970119995247713,Muy Segura,0.0,0.23776223776223776,3.0
125000,115000,Saavedra,1.0,1.0,2.0,6.0,40.0,45.0,,-58.48249,https://www.argenprop.com/departamento-en-venta-en-saavedra-2-ambientes--18296940,0,0,1,1,0,0,1,0,0,2777.777777777778,0.8888888888888888,,,,0.7272727272727273,0.5
115000,100000,Saavedra,1.0,1.0,1.0,,38.0,54.0,-34.55207,-58.48331,https://www.argenprop.com/departamento-en-venta-en-saavedra-1-ambiente--17759856,1,0,0,0,1,0,0,0,1,2129.6296296296296,0.7037037037037037,0.8847570393251752,Segura,0.0,0.32867132867132864,5.0
75000,73000,Saavedra,1.0,1.0,2.0,60.0,45.0,45.0,-34.55318,-58.495014,https://www.argenprop.com/departamento-en-venta-en-saavedra-2-ambientes--17052462,0,0,0,0,0,0,1,0,0,1666.6666666666667,1.0,0.9272306047285256,Muy Segura,0.0,0.07342657342657342,1.0
210000,220000,Saavedra,3.0,1.0,4.0,40.0,94.0,94.0,-34.549377,-58.47117,https://www.argenprop.com/departamento-en-venta-en-saavedra-4-ambientes--18998342,0,0,0,0,0,0,1,0,0,2234.0425531914893,1.0,0.7831769038849946,Segura,0.0,0.40559440559440557,0.0
126700,108000,Saavedra,1.0,1.0,2.0,,48.0,51.0,-34.55587,-58.49303,https://www.argenprop.com/departamento-en-venta-en-saavedra-2-ambientes--17623383,1,0,0,1,1,0,1,0,1,2484.3137254901962,0.9411764705882353,0.9478436497564453,Muy Segura,0.0,0.541958041958042,6.0
95500,81000,Saavedra,1.0,1.0,1.0,,35.0,39.0,-34.55587,-58.49303,https://www.argenprop.com/departamento-en-venta-en-saavedra-1-ambiente--17623377,1,0,0,0,1,0,1,0,1,2448.7179487179487,0.8974358974358975,0.9478436497564453,Muy Segura,0.0,0.5244755244755245,6.0
169000,300000,Saavedra,3.0,2.0,4.0,40.0,90.0,90.0,-34.55086,-58.48752,https://www.argenprop.com/departamento-en-venta-en-saavedra-4-ambientes--18747877,0,0,0,0,1,0,1,0,0,1877.7777777777778,1.0,0.8147202091006297,Segura,0.0,0.15734265734265734,2.0
170000,210000,Saavedra,2.0,2.0,3.0,,55.0,60.0,-34.55284,-58.47805,https://www.argenprop.com/departamento-en-venta-en-saavedra-3-ambientes--18793284,1,0,0,0,1,0,1,0,0,2833.3333333333335,0.9166666666666666,0.9897825828680052,Muy Segura,0.0,0.7517482517482518,5.0
105000,300000,Saavedra,1.0,1.0,1.0,18.0,45.0,50.0,-34.555885,-58.479527,https://www.argenprop.com/departamento-en-venta-en-saavedra-1-ambiente--18875401,1,0,0,1,1,0,1,0,0,2100.0,0.9,0.9316858738267791,Muy Segura,0.0,0.3076923076923077,5.0
93800,106000,Saavedra,1.0,1.0,1.0,,30.0,35.0,-34.55486,-58.48153,https://www.argenprop.com/departamento-en-venta-en-saavedra-1-ambiente--19061358,1,0,0,0,0,0,1,0,1,2680.0,0.8571428571428571,0.8953308779850303,Segura,0.0,0.6643356643356644,3.0
157000,70000,Saavedra,1.0,1.0,2.0,,52.0,59.0,-34.54681,-58.47228,https://www.argenprop.com/departamento-en-venta-en-saavedra-2-ambientes--19161389,1,0,1,0,1,0,0,0,1,2661.0169491525426,0.8813559322033898,0.8224426755376024,Segura,0.0,0.6573426573426573,5.5
115000,145000,Saavedra,2.0,1.0,3.0,50.0,58.0,64.0,-34.539597,-58.475906,https://www.argenprop.com/departamento-en-venta-en-saavedra-3-ambientes--19199275,0,0,0,1,0,0,1,1,0,1796.875,0.90625,0.7714149934656054,Segura,0.0,0.1258741258741259,1.0
119000,250000,Saavedra,1.0,1.0,2.0,15.0,40.0,43.0,-34.55079,-58.46852,https://www.argenprop.com/departamento-en-venta-en-saavedra-2-ambientes--17992422,1,0,1,1,0,1,0,0,1,2767.4418604651164,0.9302325581395349,0.5961744089342996,Segura,0.0,0.7237762237762237,6.5
159000,197000,Saavedra,3.0,1.0,4.0,,89.0,89.0,-34.556316,-58.49022,https://www.argenprop.com/departamento-en-venta-en-saavedra-4-ambientes--17557564,0,0,1,1,0,0,1,1,0,1786.5168539325844,1.0,0.9478436497564453,Muy Segura,0.0,0.11363636363636363,2.5
119000,120000,Saavedra,1.0,1.0,2.0,2.0,34.0,37.0,-34.54977,-58.47019,https://www.argenprop.com/departamento-en-venta-en-saavedra-2-ambientes--18328569,1,0,1,1,0,0,1,0,1,3216.2162162162163,0.918918918918919,0.7109421409053107,Segura,0.0,0.8881118881118881,3.5
124900,175000,Saavedra,2.0,1.0,3.0,60.0,57.0,57.0,-34.55936,-58.48581,https://www.argenprop.com/departamento-en-venta-en-saavedra-3-ambientes--18827211,0,0,0,1,0,0,1,1,0,2191.2280701754385,1.0,0.9768326006890816,Muy Segura,0.0,0.3776223776223776,2.0
