Precio,Expensas,Dormitorios,Banos,Ambientes,Antiguedad,Sup_Cubierta_m2,Sup_Total_m2,Amenities,Losa_Central,Aire_Acond,Apto_Credito,Cochera,Seguridad,Luminoso,Balcon_Aterrazado,A_Estrenar,Precio_m2,Proporcion_Cubierta,Indice_Seguridad,Subte_Cerca,Barrio_Almagro,Barrio_Balvanera,Barrio_Belgrano,Barrio_Boedo,Barrio_Caballito,Barrio_Chacarita,Barrio_Constitucion,Barrio_Flores,Barrio_Floresta,Barrio_La Boca,Barrio_Nuñez,Barrio_Palermo,Barrio_Parque Patricios,Barrio_Puerto Madero,Barrio_Recoleta,Barrio_Retiro,Barrio_Saavedra,Barrio_San Nicolás,Barrio_San Telmo,Barrio_Villa Urquiza,Barrio_Villa del Parque,Categoria_Seguridad_Insegura,Categoria_Seguridad_Muy Insegura,Categoria_Seguridad_Muy Segura,Categoria_Seguridad_Segura,Prediccion_Precio
119000,250000,1.0,1.0,2.0,15.0,40.0,43.0,1,0,1,1,0,1,0,0,1,2767.4418604651164,0.9302325581395348,0.5961744089342996,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,122426.84
119000,120000,1.0,1.0,2.0,2.0,34.0,37.0,1,0,1,1,0,0,1,0,1,3216.2162162162163,0.918918918918919,0.7109421409053107,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,106449.266
124900,175000,2.0,1.0,3.0,60.0,57.0,57.0,0,0,0,1,0,0,1,1,0,2191.2280701754385,1.0,0.9768326006890816,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,110677.12
175300,5000,2.0,1.0,3.0,35.0,65.0,78.0,1,0,0,1,1,0,1,1,0,2247.435897435897,0.8333333333333334,0.9719021028870144,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,176471.22
115000,125000,1.0,1.0,1.0,8.0,39.0,39.0,0,0,0,0,1,0,1,0,0,2948.7179487179487,1.0,0.8770939764761791,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,106016.88
195000,385000,2.0,2.0,3.0,19.0,61.0,67.0,1,0,1,1,1,0,0,0,0,2910.4477611940297,0.9104477611940298,0.8751336580729476,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,210203.38
122000,318000,1.0,1.0,2.0,20.0,45.0,47.0,0,0,0,1,1,0,1,0,1,2595.744680851064,0.9574468085106383,0.8817274563383628,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,147386.89
169500,170000,1.0,1.0,2.0,3.0,49.0,49.0,1,0,1,0,0,0,1,1,1,3459.183673469388,1.0,0.7023880242366639,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,146793.33
890000,910000,3.0,3.0,4.0,15.0,250.0,250.0,1,1,0,1,1,1,1,1,0,3560.0,1.0,0.9889509326363312,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,892868.94
75000,10000,1.0,1.0,2.0,60.0,38.0,39.0,0,0,0,1,0,0,0,0,0,1923.076923076923,0.9743589743589745,0.9239634073898064,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,81339.57
